date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-07-22,ARKK,2022-01-21,47.96,Put,0.20,0.40,0.30,0.6641,-0.01,0.00,-0.01,0.03
2021-07-22,ARKK,2022-01-21,52.96,Put,0.33,0.50,0.42,0.6327,-0.02,0.00,-0.01,0.04
2021-07-22,ARKK,2022-01-21,55,Put,0.40,0.57,0.49,0.6239,-0.02,0.00,-0.01,0.04
2021-07-22,ARKK,2022-01-21,57.96,Put,0.47,0.65,0.56,0.6031,-0.02,0.00,-0.01,0.05
2021-07-22,ARKK,2022-01-21,60,Put,0.52,0.67,0.60,0.5851,-0.03,0.00,-0.01,0.05
2021-07-22,ARKK,2022-01-21,62.96,Put,0.66,0.84,0.75,0.5764,-0.03,0.00,-0.01,0.06
2021-07-22,ARKK,2022-01-21,65,Put,0.74,0.93,0.84,0.5649,-0.04,0.00,-0.01,0.07
2021-07-22,ARKK,2022-01-21,67.96,Put,0.88,1.08,0.98,0.5499,-0.04,0.00,-0.01,0.08
2021-07-22,ARKK,2022-01-21,70.96,Put,1.08,1.15,1.12,0.5314,-0.05,0.00,-0.01,0.09
2021-07-22,ARKK,2022-01-21,71.96,Put,1.14,1.21,1.18,0.5266,-0.05,0.00,-0.01,0.09
2021-07-22,ARKK,2022-01-21,72.96,Put,1.21,1.28,1.25,0.5226,-0.06,0.00,-0.01,0.10
2021-07-22,ARKK,2022-01-21,73.96,Put,1.28,1.36,1.32,0.5188,-0.06,0.00,-0.01,0.10
2021-07-22,ARKK,2022-01-21,74.96,Put,1.34,1.43,1.39,0.5138,-0.06,0.00,-0.01,0.11
2021-07-22,ARKK,2022-01-21,75.96,Put,1.41,1.50,1.46,0.5090,-0.07,0.00,-0.01,0.11
2021-07-22,ARKK,2022-01-21,76.96,Put,1.49,1.58,1.54,0.5048,-0.07,0.00,-0.02,0.11
2021-07-22,ARKK,2022-01-21,77.96,Put,1.61,1.67,1.64,0.5026,-0.07,0.00,-0.02,0.12
2021-07-22,ARKK,2022-01-21,78.96,Put,1.70,1.76,1.73,0.4986,-0.08,0.00,-0.02,0.12
2021-07-22,ARKK,2022-01-21,79.96,Put,1.77,1.87,1.82,0.4944,-0.08,0.00,-0.02,0.13
2021-07-22,ARKK,2022-01-21,80.96,Put,1.88,1.95,1.92,0.4904,-0.08,0.00,-0.02,0.13
2021-07-22,ARKK,2022-01-21,81.96,Put,1.98,2.09,2.04,0.4878,-0.09,0.00,-0.02,0.14
2021-07-22,ARKK,2022-01-21,82.96,Put,2.10,2.27,2.19,0.4870,-0.10,0.00,-0.02,0.15
2021-07-22,ARKK,2022-01-21,83.96,Put,2.22,2.30,2.26,0.4807,-0.10,0.00,-0.02,0.15
2021-07-22,ARKK,2022-01-21,84.96,Put,2.35,2.42,2.39,0.4775,-0.10,0.00,-0.02,0.16
2021-07-22,ARKK,2022-01-21,85.96,Put,2.48,2.56,2.52,0.4746,-0.11,0.00,-0.02,0.16
2021-07-22,ARKK,2022-01-21,86.96,Put,2.61,2.69,2.65,0.4711,-0.11,0.00,-0.02,0.17
2021-07-22,ARKK,2022-01-21,87.96,Put,2.76,2.84,2.80,0.4684,-0.12,0.00,-0.02,0.17
2021-07-22,ARKK,2022-01-21,88.96,Put,2.90,2.99,2.95,0.4652,-0.13,0.01,-0.02,0.18
2021-07-22,ARKK,2022-01-21,89.96,Put,3.05,3.15,3.10,0.4621,-0.13,0.01,-0.02,0.18
2021-07-22,ARKK,2022-01-21,90.96,Put,3.20,3.35,3.28,0.4599,-0.14,0.01,-0.02,0.19
2021-07-22,ARKK,2022-01-21,91.96,Put,3.35,3.50,3.43,0.4559,-0.15,0.01,-0.02,0.20
2021-07-22,ARKK,2022-01-21,92.96,Put,3.55,3.65,3.60,0.4530,-0.15,0.01,-0.02,0.20
2021-07-22,ARKK,2022-01-21,93.96,Put,3.75,3.85,3.80,0.4509,-0.16,0.01,-0.02,0.21
2021-07-22,ARKK,2022-01-21,94.96,Put,3.95,4.05,4.00,0.4485,-0.17,0.01,-0.03,0.21
2021-07-22,ARKK,2022-01-21,95.96,Put,4.15,4.25,4.20,0.4458,-0.17,0.01,-0.03,0.22
2021-07-22,ARKK,2022-01-21,96.96,Put,4.35,4.50,4.43,0.4438,-0.18,0.01,-0.03,0.23
2021-07-22,ARKK,2022-01-21,97.96,Put,4.55,4.70,4.63,0.4404,-0.19,0.01,-0.03,0.23
2021-07-22,ARKK,2022-01-21,98.96,Put,4.75,4.90,4.83,0.4367,-0.20,0.01,-0.03,0.24
2021-07-22,ARKK,2022-01-21,100,Put,5.05,5.20,5.13,0.4364,-0.21,0.01,-0.03,0.25
2021-07-22,ARKK,2022-01-21,102.96,Put,5.80,5.95,5.88,0.4290,-0.23,0.01,-0.03,0.26
2021-07-22,ARKK,2022-01-21,105,Put,6.40,6.55,6.48,0.4253,-0.25,0.01,-0.03,0.27
2021-07-22,ARKK,2022-01-21,107.96,Put,7.35,7.50,7.43,0.4203,-0.28,0.01,-0.03,0.29
2021-07-22,ARKK,2022-01-21,110,Put,8.00,8.30,8.15,0.4174,-0.30,0.01,-0.03,0.30
2021-07-22,ARKK,2022-01-21,112.96,Put,9.10,9.35,9.23,0.4115,-0.33,0.01,-0.03,0.31
2021-07-22,ARKK,2022-01-21,115,Put,9.95,10.15,10.05,0.4084,-0.36,0.01,-0.03,0.32
2021-07-22,ARKK,2022-01-21,117.96,Put,11.25,11.50,11.38,0.4054,-0.39,0.01,-0.03,0.33
2021-07-22,ARKK,2022-01-21,120,Put,12.25,12.45,12.35,0.4035,-0.41,0.01,-0.03,0.33
2021-07-22,ARKK,2022-01-21,122.96,Put,13.70,13.95,13.83,0.4000,-0.45,0.01,-0.03,0.34
2021-07-22,ARKK,2022-01-21,125,Put,14.80,15.05,14.93,0.3984,-0.47,0.01,-0.03,0.34
2021-07-22,ARKK,2022-01-21,127.96,Put,16.50,16.75,16.63,0.3968,-0.50,0.01,-0.03,0.34
2021-07-22,ARKK,2022-01-21,130,Put,17.80,18.00,17.90,0.3971,-0.53,0.01,-0.03,0.34
2021-07-22,ARKK,2022-01-21,132.96,Put,19.65,19.90,19.78,0.3960,-0.56,0.01,-0.03,0.34
2021-07-22,ARKK,2022-07-16,55,Put,0.87,1.12,0.995,0.5227,-0.03,0.00,-0.01,0.09
2021-07-22,ARKK,2022-07-16,60,Put,1.20,1.61,1.405,0.5124,-0.05,0.00,-0.01,0.11
2021-07-22,ARKK,2022-07-16,65,Put,1.72,1.86,1.79,0.4934,-0.06,0.00,-0.01,0.14
2021-07-22,ARKK,2022-07-16,70,Put,2.24,2.38,2.31,0.4791,-0.07,0.00,-0.01,0.17
2021-07-22,ARKK,2022-07-16,75,Put,2.89,3.05,2.97,0.4675,-0.09,0.00,-0.01,0.20
2021-07-22,ARKK,2022-07-16,80,Put,3.70,3.85,3.775,0.4573,-0.11,0.00,-0.01,0.23
2021-07-22,ARKK,2022-07-16,85,Put,4.65,4.90,4.775,0.4496,-0.14,0.00,-0.02,0.27
2021-07-22,ARKK,2022-07-16,90,Put,5.80,6.00,5.90,0.4409,-0.17,0.00,-0.02,0.30
2021-07-22,ARKK,2022-07-16,95,Put,7.15,7.40,7.275,0.4349,-0.20,0.01,-0.02,0.34
2021-07-22,ARKK,2022-07-16,100,Put,8.70,8.95,8.825,0.4289,-0.23,0.01,-0.02,0.37
2021-07-22,ARKK,2022-07-16,105,Put,10.00,10.80,10.40,0.4188,-0.27,0.01,-0.02,0.40
2021-07-22,ARKK,2022-07-16,110,Put,12.35,12.70,12.525,0.4178,-0.31,0.01,-0.02,0.42
2021-07-22,ARKK,2022-07-16,115,Put,14.60,14.95,14.775,0.4148,-0.35,0.01,-0.02,0.44
2021-07-22,ARKK,2022-07-16,120,Put,17.15,17.35,17.25,0.4123,-0.39,0.01,-0.02,0.46
2021-07-22,ARKK,2022-07-16,125,Put,19.80,20.05,19.925,0.4099,-0.43,0.01,-0.02,0.47
2021-07-22,ARKK,2022-07-16,130,Put,22.15,23.00,22.575,0.4029,-0.47,0.01,-0.02,0.47
2021-07-22,ARKK,2022-07-16,135,Put,25.90,26.25,26.075,0.4101,-0.51,0.01,-0.02,0.47
2021-07-22,ARKK,2022-07-16,140,Put,29.00,29.60,29.30,0.4078,-0.55,0.01,-0.02,0.47
2021-07-22,ARKK,2022-07-16,145,Put,32.80,33.20,33.00,0.4122,-0.58,0.01,-0.02,0.46
2021-07-22,ARKK,2022-07-16,150,Put,35.45,37.30,36.375,0.4063,-0.62,0.01,-0.02,0.44
2021-07-22,ARKK,2022-07-16,155,Put,40.55,40.95,40.75,0.4201,-0.64,0.01,-0.02,0.43
2021-07-22,ARKK,2022-07-16,160,Put,44.55,45.00,44.775,0.4235,-0.67,0.01,-0.02,0.42
2021-07-22,ARKK,2022-07-16,165,Put,48.85,49.30,49.075,0.4314,-0.69,0.01,-0.02,0.40
2021-07-22,ARKK,2022-07-16,170,Put,53.20,53.75,53.475,0.4400,-0.71,0.01,-0.02,0.39
2021-07-22,ARKK,2022-07-16,175,Put,57.60,58.10,57.85,0.4463,-0.72,0.01,-0.02,0.37
2021-07-22,ARKK,2022-07-16,180,Put,62.15,62.65,62.40,0.4561,-0.74,0.01,-0.02,0.36
2021-07-22,ARKK,2022-07-16,185,Put,65.10,67.85,66.475,0.4506,-0.76,0.01,-0.02,0.33
2021-07-22,ARKK,2022-07-16,190,Put,69.80,72.35,71.075,0.4591,-0.77,0.01,-0.02,0.32
2021-07-22,ARKK,2022-07-16,195,Put,76.00,76.65,76.325,0.4876,-0.76,0.01,-0.02,0.32
